trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-104.15020440759864,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-27.90659468025195,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,17,-1.0646982291585203,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-59.734465051158324,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-83.42256136826883,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-58.23899778497361,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-42.662764436144315,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",35,1,-138.00929432536915,"{0: 25, 1: 4, 2: 2, 3: 0, 4: 3}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-50.8421504589656,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-50.909417627581014,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-34.66242129644872,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-85.52555828058081,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",35,0,-28.54390891412236,"{0: 32, 1: 1, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-23.39297492931937,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,5,6.384333024665986,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,2,-111.89258660740646,"{0: 17, 1: 1, 2: 1, 3: 2, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-88.68760339552855,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-28.365742585468528,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-107.21442458883836,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-8.277921888401316,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-38.62302048520167,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,18.957245147321835,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,8,-75.99016827083423,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 2}",1
4,True,"{'a': 0, 'e': 0}",20,1,29.84967492121911,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,10.656325680281132,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,1,6.305225019974962,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,3,12.769537727237717,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,10,-20.574881738324443,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,-136.1150881113434,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 4}",0
10,True,"{'a': 0, 'e': 0}",25,0,-60.39769654895198,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
