trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.9950124791926823}",20,0,-23.02484217828956,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.2, 'e': 0.9900498337491681}",25,0,-224.14497005778148,"{0: 11, 1: 4, 2: 6, 3: 0, 4: 4}",0
3,False,"{'a': 0.2, 'e': 0.9851119396030626}",20,5,-99.83184683639342,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 2}",1
4,False,"{'a': 0.2, 'e': 0.9801986733067553}",20,0,-10.441293614934036,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
5,False,"{'a': 0.2, 'e': 0.9753099120283326}",25,0,-238.8715637257247,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 6}",0
6,False,"{'a': 0.2, 'e': 0.9704455335485082}",30,0,-160.31672649867312,"{0: 23, 1: 1, 2: 2, 3: 0, 4: 4}",0
7,False,"{'a': 0.2, 'e': 0.9656054162575665}",25,0,-64.45544105587713,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.2, 'e': 0.9607894391523232}",20,0,-7.547479928445574,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.2, 'e': 0.9559974818331}",30,0,-28.23003779180176,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.2, 'e': 0.951229424500714}",30,0,-99.83171017330739,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.2, 'e': 0.9464851479534838}",35,0,-85.93507236249239,"{0: 29, 1: 3, 2: 0, 3: 1, 4: 2}",0
12,False,"{'a': 0.2, 'e': 0.9417645335842487}",30,0,-16.458362805483766,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.2, 'e': 0.9370674633774034}",30,10,21.909898869098484,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.2, 'e': 0.9323938199059483}",20,0,-3.6579494852433716,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.2, 'e': 0.9277434863285529}",30,0,-110.70857602367906,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 3}",0
16,False,"{'a': 0.2, 'e': 0.9231163463866358}",20,0,-33.84559233908757,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.2, 'e': 0.9185122844014574}",35,0,-58.788022477156396,"{0: 29, 1: 1, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.2, 'e': 0.9139311852712282}",20,0,20.565874015899514,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.2, 'e': 0.9093729344682314}",30,0,-55.68645986679499,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",0
20,False,"{'a': 0.2, 'e': 0.9048374180359595}",30,0,-0.48684275936796095,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
21,False,"{'a': 0.2, 'e': 0.9003245225862656}",30,0,25.85363469736543,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.2, 'e': 0.8958341352965282}",20,0,-47.98533982246139,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
23,False,"{'a': 0.2, 'e': 0.8913661439068313}",30,0,-6.922533991055726,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
24,False,"{'a': 0.2, 'e': 0.8869204367171575}",30,0,-107.01712621916727,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 3}",0
25,False,"{'a': 0.2, 'e': 0.8824969025845955}",20,0,18.878044976903272,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.2, 'e': 0.8780954309205613}",20,0,-101.67180073412362,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
27,False,"{'a': 0.2, 'e': 0.8737159116880344}",20,0,-21.720203620031725,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
28,False,"{'a': 0.2, 'e': 0.8693582353988059}",20,0,-20.759411238192282,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
29,False,"{'a': 0.2, 'e': 0.8650222931107413}",20,0,-28.23932105826419,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
30,False,"{'a': 0.2, 'e': 0.8607079764250578}",20,0,-27.538598740847206,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
31,False,"{'a': 0.2, 'e': 0.8564151774836135}",25,0,-70.72445173060878,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
