trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.57611657035054,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-182.29203746532448,"{0: 8, 1: 8, 2: 7, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.20630890315883,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-210.21199672926238,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 5}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,6,-56.237162943271485,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.83417998331412,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.58780873591013,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.84279447566945,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.06960732620459,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-162.7879052124448,"{0: 14, 1: 7, 2: 6, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-42.10422620157348,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-65.53156155821401,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-102.41448551134388,"{0: 23, 1: 5, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.05099782405771,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-198.6470273062988,"{0: 10, 1: 4, 2: 7, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-205.83428792820538,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.27132548262215,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.55725833028762,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.05477500038577,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-23.194480799688378,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-52.49766477811418,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-185.10897712950276,"{0: 14, 1: 6, 2: 7, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-82.2116156494575,"{0: 17, 1: 7, 2: 6, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",35,0,-237.30640966398727,"{0: 20, 1: 3, 2: 8, 3: 0, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-116.37525208415356,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",35,0,-160.79789316748023,"{0: 22, 1: 3, 2: 7, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-99.04588233515386,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-98.56896254695225,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-151.31688944914538,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-112.62244825122193,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
